ID fire,ID definition,definition,canton,ID municipality,municipality code,municipality,ID current municipality,current municipality code,current municipality,start date,ID accuracy start date,accuracy start date,date end of fire,ID accuracy end date,accuracy end date,start date (solar time),end date (solar time),locality,coordinates_y,coordinates_x,ID accuracy coordinates,accuracy coordinates,altitude [m asl],ID exposition,exposition,slope [%],forest [ha],grassland [ha],nonproductive [ha],total [ha],cause,other cause,ID cause reliability,cause reliability,start_date_min,start_date_max,end_date_min,end_date_max,duration_min,duration_max,longitude,latitude,abbreviation,closest_station_distance,foehn_minutes_24_hour_before,foehn_minutes_48_hour_before,foehn_minutes_during_2_hours_after_start_of_fire,FF_mean_during_2_hours_after_start_of_fire,FFX_mean_during_2_hours_after_start_of_fire,FFX_q75_during_2_hours_after_start_of_fire,FFX_q90_during_2_hours_after_start_of_fire,foehn_minutes_during_6_hours_after_start_of_fire,FF_mean_during_6_hours_after_start_of_fire,FFX_mean_during_6_hours_after_start_of_fire,FFX_q75_during_6_hours_after_start_of_fire,FFX_q90_during_6_hours_after_start_of_fire,foehn_minutes_during_12_hours_after_start_of_fire,FF_mean_during_12_hours_after_start_of_fire,FFX_mean_during_12_hours_after_start_of_fire,FFX_q75_during_12_hours_after_start_of_fire,FFX_q90_during_12_hours_after_start_of_fire,fire_regime,ID Cause,foehn_variant,decade
198004012101,1,forest fire,TI,11413,5171,Caslano,11413,5171,Caslano,1980-04-01 13:30:00,1.0,minute,1980-04-02 17:30:00,1.0,minute,1980-04-01 13:30:00,1980-04-02 17:30:00,Torrazza-Piazza-Sassalto,711420.0,90800.0,,,280.0,1.0,S,65.0,1.0,0.0,1.0,2.0,"private (tourists, hickers,thrown cigarettes,other)",,1.0,sure,1980-04-01 13:30:00,1980-04-01 13:30:00,1980-04-02 17:30:00,1980-04-02 17:30:00,28.0,28.0,8.875821529558884,45.95959596255105,LUG,127583.3448221201,0.0,0.0,,,,,,,,,,,,,,,,Winter anthropogenic,,North foehn,"[1980, 1989]"
198004012102,1,forest fire,TI,12828,5113,Locarno,12828,5113,Locarno,1980-04-01 13:00:00,1.0,minute,1980-04-01 14:00:00,1.0,minute,1980-04-01 13:00:00,1980-04-01 14:00:00,Roncascio-Bré,703280.0,114680.0,,,540.0,1.0,S,65.0,0.1,0.0,0.0,0.1,"private (tourists, hickers,thrown cigarettes,other)",,0.0,supposed,1980-04-01 13:00:00,1980-04-01 13:00:00,1980-04-01 14:00:00,1980-04-01 14:00:00,1.0,1.0,8.776095497500034,46.17566763796137,OTL,12294.076785183994,0.0,0.0,,,,,,,,,,,,,,,,Winter anthropogenic,,North foehn,"[1980, 1989]"
198004022101,1,forest fire,TI,11904,5281,Biasca,11904,5281,Biasca,1980-04-02 15:00:00,1.0,minute,1980-04-02 16:00:00,1.0,minute,1980-04-02 15:00:00,1980-04-02 16:00:00,a monte del cimitero,718250.0,136875.0,,,450.0,3.0,W,10.0,0.0,0.05,0.0,0.05,arson,,0.0,supposed,1980-04-02 15:00:00,1980-04-02 15:00:00,1980-04-02 16:00:00,1980-04-02 16:00:00,1.0,1.0,8.975535862504126,46.37282522658795,PIO,73619.30358947985,0.0,0.0,,,,,,,,,,,,,,,,Winter anthropogenic,,North foehn,"[1980, 1989]"
198004032101,1,forest fire,TI,11797,5156,Bosco Luganese,14939,5151,Bioggio,1980-04-03 16:00:00,1.0,minute,1980-04-04 12:00:00,1.0,minute,1980-04-03 16:00:00,1980-04-04 12:00:00,Boscone,713540.0,98660.0,,,600.0,8.0,SE,75.0,20.0,0.0,0.0,20.0,unknown,,1.0,sure,1980-04-03 16:00:00,1980-04-03 16:00:00,1980-04-04 12:00:00,1980-04-04 12:00:00,20.0,20.0,8.90505431958175,46.02993459170792,LUG,115487.15860215802,0.0,0.0,,,,,,,,,,,,,,,,Winter anthropogenic,,North foehn,"[1980, 1989]"
198004032102,1,forest fire,TI,11833,5097,Brissago,11833,5097,Brissago,1980-04-03 10:00:00,1.0,minute,1980-04-03 16:00:00,1.0,minute,1980-04-03 10:00:00,1980-04-03 16:00:00,Ferabo Mondada,698440.0,110000.0,,,560.0,7.0,E,75.0,0.1,0.0,0.0,0.1,"private (tourists, hickers,thrown cigarettes,other)",,1.0,sure,1980-04-03 10:00:00,1980-04-03 10:00:00,1980-04-03 16:00:00,1980-04-03 16:00:00,6.0,6.0,8.712446391627878,46.13429872082864,OTL,154284.47454296885,0.0,0.0,,,,,,,,,,,,,,,,Winter anthropogenic,,North foehn,"[1980, 1989]"
198004052101,1,forest fire,TI,11500,5245,Cabbio,14974,5269,Breggia,1980-04-05 11:30:00,1.0,minute,1980-04-05 13:30:00,1.0,minute,1980-04-05 11:30:00,1980-04-05 13:30:00,Cimitero-Vallera,724740.0,83900.0,,,650.0,3.0,W,45.0,1.0,0.0,0.0,1.0,"private (tourists, hickers,thrown cigarettes,other)",,0.0,supposed,1980-04-05 11:30:00,1980-04-05 11:30:00,1980-04-05 13:30:00,1980-04-05 13:30:00,2.0,2.0,9.04576405358257,45.89521658356377,LUG,36721.14129489986,0.0,0.0,,,,,,,,,,,,,,,,Winter anthropogenic,,North foehn,"[1980, 1989]"
198004072101,1,forest fire,TI,12623,5189,Lamone,12623,5189,Lamone,1980-04-07 10:45:00,1.0,minute,1980-04-07 15:30:00,1.0,minute,1980-04-07 10:45:00,1980-04-07 15:30:00,S.Zeno,716420.0,100800.0,,,520.0,3.0,W,60.0,0.3,0.1,0.1,0.5,"private (tourists, hickers,thrown cigarettes,other)",,0.0,supposed,1980-04-07 10:45:00,1980-04-07 10:45:00,1980-04-07 15:30:00,1980-04-07 15:30:00,4.75,4.75,8.942771022056181,46.048691042405714,LUG,55412.43384837017,0.0,0.0,,,,,,,,,,,,,,,,Winter anthropogenic,,North foehn,"[1980, 1989]"
198004092101,1,forest fire,TI,11673,5091,Ascona,11673,5091,Ascona,1980-04-09 15:00:00,1.0,minute,1980-04-09 16:00:00,1.0,minute,1980-04-09 15:00:00,1980-04-09 16:00:00,Croce Pedroli,701040.0,112540.0,,,300.0,8.0,SE,18.0,0.02,0.0,0.0,0.02,"private (tourists, hickers,thrown cigarettes,other)",,0.0,supposed,1980-04-09 15:00:00,1980-04-09 15:00:00,1980-04-09 16:00:00,1980-04-09 16:00:00,1.0,1.0,8.746631649331134,46.15675954201207,OTL,111775.78727524132,0.0,0.0,,,,,,,,,,,,,,,,Winter anthropogenic,,North foehn,"[1980, 1989]"
198004102101,1,forest fire,TI,13138,5212,Ponte Capriasca,13138,5212,Ponte Capriasca,1980-04-10 14:30:00,1.0,minute,1980-04-11 02:00:00,1.0,minute,1980-04-10 14:30:00,1980-04-11 02:00:00,Meraggia-Ciapei,716020.0,103000.0,,,350.0,3.0,W,30.0,9.0,1.0,2.0,12.0,rail,,0.0,supposed,1980-04-10 14:30:00,1980-04-10 14:30:00,1980-04-11 02:00:00,1980-04-11 02:00:00,11.5,11.5,8.938147375231061,46.06854620568444,LUG,92178.37452461396,0.0,0.0,,,,,,,,,,,,,,,,Winter anthropogenic,,North foehn,"[1980, 1989]"
198004102102,1,forest fire,TI,12828,5113,Locarno,12828,5113,Locarno,1980-04-10 14:15:00,1.0,minute,1980-04-11 07:00:00,1.0,minute,1980-04-10 14:15:00,1980-04-11 07:00:00,sotto Bré,703280.0,114680.0,,,540.0,1.0,S,65.0,50.0,0.0,0.0,50.0,"private (tourists, hickers,thrown cigarettes,other)",,0.0,supposed,1980-04-10 14:15:00,1980-04-10 14:15:00,1980-04-11 07:00:00,1980-04-11 07:00:00,16.750000000000004,16.750000000000004,8.776095497500034,46.17566763796137,OTL,44883.53698183778,0.0,0.0,,,,,,,,,,,,,,,,Winter anthropogenic,,North foehn,"[1980, 1989]"
