ID fire,ID definition,definition,canton,ID municipality,municipality code,municipality,ID current municipality,current municipality code,current municipality,start date,ID accuracy start date,accuracy start date,date end of fire,ID accuracy end date,accuracy end date,start date (solar time),end date (solar time),locality,coordinates x,coordinates y,ID accuracy coordinates,accuracy coordinates,altitude [m asl],ID exposition,exposition,slope [%],forest [ha],grassland [ha],nonproductive [ha],total [ha],ID Cause,cause,other cause,ID cause reliability,cause reliability
199005062101,1,forest fire,TI,13251,5250,Chiasso,13251,5250,Chiasso,1990-05-06 12:03:00.0,1.0,minute,1990-05-06 15:00:00.0,1.0,minute,1990-05-06 11:03:00.0,1990-05-06 14:00:00.0,Maiocca,723120.0,76160.0,,,440.0,5.0,N,36.0,0.5,0.0,0.0,0.5,5.0,"private (tourists, hickers,thrown cigarettes,other)",,0.0,supposed
199005062102,1,forest fire,TI,11531,5104,Cugnasco,14936,5138,Cugnasco-Gerra,1990-05-06 16:00:00.0,1.0,minute,1990-05-07 18:00:00.0,1.0,minute,1990-05-06 15:00:00.0,1990-05-07 17:00:00.0,Mti. della Colla,713300.0,117500.0,,,1254.0,,,34.0,,,,,2.0,lightning,,0.0,supposed
199005072601,1,forest fire,JU,14969,6810,La Baroche,14969,6810,La Baroche,1990-05-07 17:00:00.0,2.0,hour,1990-05-07 23:59:00.0,3.0,day,1990-05-07 16:00:00.0,1990-05-07 22:59:00.0,[en descendant le Col des Rangiers],582270.0,248700.0,1.0,> 1000 m,,,,,,,,,15.0,other known cause,accident de la route,1.0,sure
199005081801,1,forest fire,GR,14242,3707,Lohn (GR),15989,3707,Lohn (GR),1990-05-08 12:00:00.0,1.0,minute,1990-05-08 00:00:00.0,3.0,day,1990-05-08 11:00:00.0,1990-05-07 23:00:00.0,Plan Sura,752800.0,169250.0,2.0,500-1000 m,1611.0,8.0,SE,46.0,,,,0.2,8.0,agriculture,,1.0,sure
199005082101,1,forest fire,TI,12828,5113,Locarno,12828,5113,Locarno,1990-05-08 16:05:00.0,1.0,minute,1990-05-08 22:00:00.0,1.0,minute,1990-05-08 15:05:00.0,1990-05-08 21:00:00.0,Miranda-Varenna (Mte. Bré),,,,,,,,,,,,,1.0,unknown,,1.0,sure
199005122101,1,forest fire,TI,11815,5064,Bodio,11815,5064,Bodio,1990-05-12 14:45:00.0,1.0,minute,1990-05-12 20:00:00.0,1.0,minute,1990-05-12 13:45:00.0,1990-05-12 19:00:00.0,Scengio-Fontana,714180.0,137650.0,,,780.0,2.0,SW,70.0,0.5,0.0,0.0,0.5,1.0,unknown,,1.0,sure
199005152301,1,forest fire,VS,11686,6231,Ayer,14962,6252,Anniviers,1990-05-15 00:00:00.0,3.0,day,1990-05-17 00:00:00.0,3.0,day,1990-05-14 23:00:00.0,1990-05-16 23:00:00.0,Ban d'Ayer,613225.0,114625.0,3.0,50-500 m,1800.0,3.0,W,,0.5,0.0,,0.5,7.0,forestry ,,1.0,sure
199005182101,1,forest fire,TI,12713,5317,Maggia,14495,5317,Maggia,1990-05-18 15:00:00.0,1.0,minute,1990-05-19 19:03:00.0,1.0,minute,1990-05-18 14:00:00.0,1990-05-19 18:03:00.0,Aiarlo Mottone,700860.0,123680.0,,,1360.0,1.0,S,85.0,0.0,0.7,0.0,0.7,2.0,lightning,,1.0,sure
199005302301,1,forest fire,VS,13058,6141,Saxon,13058,6141,Saxon,1990-05-30 19:30:00.0,1.0,minute,,9.0,date unknown,1990-05-30 18:30:00.0,,Pierre Noir,,,,,,,,,0.04,0.0,,0.04,4.0,not extinguished camping fires,,1.0,sure
199006011801,1,forest fire,GR,14295,3832,Grono,15695,3832,Grono,1990-06-01 10:00:00.0,1.0,minute,1990-06-02 12:00:00.0,1.0,minute,1990-06-01 09:00:00.0,1990-06-02 11:00:00.0,Oberboden,769225.0,203250.0,3.0,50-500 m,1515.0,4.0,NW,66.0,,,,0.05,7.0,forestry ,,1.0,sure
